S,I,R,p_I,p_R,t
54,6,0,0.00866768,0.01,0
53,7,0,0.00767848,0.01,1
50,10,0,0.0183986,0.01,2
40,20,0,0.0291589,0.01,3
25,35,0,0.00515615,0.01,4
15,44,1,0.029965,0.01,5
7,52,1,0.0272057,0.01,6
0,59,1,0.0179823,0.01,7
0,59,1,0.0279986,0.01,8
0,59,1,0.0100896,0.01,9
0,59,1,0.00583713,0.01,10
0,59,1,0.0135339,0.01,11
0,58,2,0.0104996,0.01,12
0,58,2,0.029587,0.01,13
0,58,2,0.0189358,0.01,14
0,58,2,0.016864,0.01,15
0,58,2,0.0271289,0.01,16
0,58,2,0.0100304,0.01,17
0,55,5,0.013686,0.01,18
0,55,5,0.0100944,0.01,19
0,53,7,0.0159746,0.01,20
0,52,8,0.0246591,0.01,21
0,52,8,0.0179278,0.01,22
0,51,9,0.00694304,0.01,23
0,51,9,0.0152093,0.01,24
0,51,9,0.0100808,0.01,25
0,50,10,0.0121975,0.01,26
0,50,10,0.00535549,0.01,27
0,49,11,0.0207084,0.01,28
0,49,11,0.0127414,0.01,29
0,49,11,0.0139427,0.01,30
0,49,11,0.0129169,0.01,31
0,48,12,0.0140865,0.01,32
0,48,12,0.0253945,0.01,33
0,47,13,0.0244775,0.01,34
0,47,13,0.0247184,0.01,35
0,44,16,0.0226639,0.01,36
0,43,17,0.0120914,0.01,37
0,43,17,0.0258747,0.01,38
0,43,17,0.0270637,0.01,39
0,43,17,0.0238897,0.01,40
0,43,17,0.029271,0.01,41
0,42,18,0.0240731,0.01,42
0,41,19,0.0145486,0.01,43
0,40,20,0.0147091,0.01,44
0,40,20,0.0257525,0.01,45
0,40,20,0.0287318,0.01,46
0,40,20,0.010928,0.01,47
0,40,20,0.011665,0.01,48
0,40,20,0.0151481,0.01,49
0,39,21,0.0220693,0.01,50
0,39,21,0.0087567,0.01,51
0,39,21,0.024542,0.01,52
0,37,23,0.0231363,0.01,53
0,37,23,0.0256833,0.01,54
0,37,23,0.0157672,0.01,55
0,37,23,0.0242526,0.01,56
0,36,24,0.0230802,0.01,57
0,36,24,0.00707336,0.01,58
0,34,26,0.0133113,0.01,59
0,34,26,0.0124639,0.01,60
0,34,26,0.0141545,0.01,61
0,34,26,0.0223278,0.01,62
0,33,27,0.0275335,0.01,63
0,33,27,0.0257722,0.01,64
0,33,27,0.00653351,0.01,65
0,32,28,0.0253472,0.01,66
0,31,29,0.0105671,0.01,67
0,31,29,0.0170805,0.01,68
0,31,29,0.0232826,0.01,69
0,31,29,0.0289117,0.01,70
0,31,29,0.022855,0.01,71
0,30,30,0.0296374,0.01,72
0,28,32,0.00619279,0.01,73
0,27,33,0.0201824,0.01,74
0,27,33,0.0150445,0.01,75
0,27,33,0.0192519,0.01,76
0,27,33,0.0297493,0.01,77
0,27,33,0.00795335,0.01,78
0,27,33,0.0294119,0.01,79
0,26,34,0.0173173,0.01,80
0,26,34,0.0123335,0.01,81
0,26,34,0.0252305,0.01,82
0,26,34,0.0293715,0.01,83
0,26,34,0.0242943,0.01,84
0,26,34,0.0130044,0.01,85
0,26,34,0.0244562,0.01,86
0,26,34,0.0276719,0.01,87
0,25,35,0.0128993,0.01,88
0,25,35,0.0172479,0.01,89
0,25,35,0.0296728,0.01,90
0,25,35,0.00761446,0.01,91
0,24,36,0.00985537,0.01,92
0,24,36,0.00813453,0.01,93
0,24,36,0.0280466,0.01,94
0,24,36,0.0275243,0.01,95
0,23,37,0.029258,0.01,96
0,23,37,0.0269406,0.01,97
0,23,37,0.0126557,0.01,98
0,22,38,0.00840115,0.01,99
