S,I,R,p_I,p_R,t
54,6,0,0.0134677,0.01,0
52,8,0,0.0246873,0.01,1
42,18,0,0.0127768,0.01,2
34,26,0,0.0245463,0.01,3
19,41,0,0.0247515,0.01,4
7,51,2,0.0272237,0.01,5
2,55,3,0.00603155,0.01,6
2,55,3,0.0232239,0.01,7
2,54,4,0.0129349,0.01,8
2,54,4,0.0115069,0.01,9
1,54,5,0.0107081,0.01,10
1,50,9,0.00682232,0.01,11
0,51,9,0.012937,0.01,12
0,51,9,0.011096,0.01,13
0,49,11,0.0239652,0.01,14
0,49,11,0.0162307,0.01,15
0,48,12,0.0148865,0.01,16
0,48,12,0.00668927,0.01,17
0,48,12,0.0215715,0.01,18
0,48,12,0.0202416,0.01,19
0,48,12,0.0114136,0.01,20
0,48,12,0.0112271,0.01,21
0,48,12,0.0260888,0.01,22
0,48,12,0.00897571,0.01,23
0,47,13,0.0192515,0.01,24
0,47,13,0.0218749,0.01,25
0,45,15,0.0201191,0.01,26
0,45,15,0.00785058,0.01,27
0,45,15,0.0174641,0.01,28
0,45,15,0.00972482,0.01,29
0,45,15,0.0211163,0.01,30
0,45,15,0.0160342,0.01,31
0,45,15,0.0162898,0.01,32
0,45,15,0.0230894,0.01,33
0,44,16,0.0192625,0.01,34
0,44,16,0.0241572,0.01,35
0,43,17,0.0219524,0.01,36
0,43,17,0.0195804,0.01,37
0,42,18,0.0200393,0.01,38
0,41,19,0.0294139,0.01,39
0,40,20,0.0157514,0.01,40
0,40,20,0.0130118,0.01,41
0,40,20,0.0287151,0.01,42
0,39,21,0.0115027,0.01,43
0,39,21,0.0155616,0.01,44
0,39,21,0.0225294,0.01,45
0,39,21,0.00891811,0.01,46
0,39,21,0.0204326,0.01,47
0,39,21,0.0121901,0.01,48
0,39,21,0.00879215,0.01,49
0,39,21,0.0204794,0.01,50
0,39,21,0.0148567,0.01,51
0,39,21,0.0283921,0.01,52
0,39,21,0.00932043,0.01,53
0,39,21,0.00674157,0.01,54
0,39,21,0.015403,0.01,55
0,38,22,0.024925,0.01,56
0,37,23,0.0193636,0.01,57
0,37,23,0.00764534,0.01,58
0,37,23,0.0288549,0.01,59
0,36,24,0.0184967,0.01,60
0,36,24,0.0120481,0.01,61
0,36,24,0.0286713,0.01,62
0,35,25,0.0140402,0.01,63
0,33,27,0.0232436,0.01,64
0,33,27,0.0187948,0.01,65
0,33,27,0.0250292,0.01,66
0,33,27,0.0225599,0.01,67
0,33,27,0.0147558,0.01,68
0,33,27,0.0134956,0.01,69
0,33,27,0.0218678,0.01,70
0,32,28,0.00820496,0.01,71
0,32,28,0.0173199,0.01,72
0,32,28,0.0297285,0.01,73
0,32,28,0.0250834,0.01,74
0,31,29,0.0247906,0.01,75
0,31,29,0.0151365,0.01,76
0,31,29,0.0233062,0.01,77
0,31,29,0.0155905,0.01,78
0,30,30,0.0287663,0.01,79
0,28,32,0.0271266,0.01,80
0,28,32,0.017376,0.01,81
0,28,32,0.0209971,0.01,82
0,28,32,0.017036,0.01,83
0,27,33,0.0164481,0.01,84
0,26,34,0.0113713,0.01,85
0,26,34,0.00948747,0.01,86
0,26,34,0.0208561,0.01,87
0,26,34,0.00535836,0.01,88
0,26,34,0.0144168,0.01,89
0,26,34,0.0165862,0.01,90
0,25,35,0.0141618,0.01,91
0,25,35,0.0171523,0.01,92
0,25,35,0.0285466,0.01,93
0,23,37,0.026686,0.01,94
0,23,37,0.0160218,0.01,95
0,23,37,0.0287819,0.01,96
0,21,39,0.0251633,0.01,97
0,20,40,0.0110884,0.01,98
0,20,40,0.020489,0.01,99
