S,I,R,p_I,p_R,t
944,56,0,0.0758289,0.141701,0
60,817,123,0.114713,0.114907,1
0,768,232,0.125464,0.0747595,2
0,717,283,0.0585829,0.0815986,3
0,659,341,0.156423,0.151597,4
0,563,437,0.127747,0.119194,5
0,501,499,0.0835016,0.127606,6
0,427,573,0.147462,0.148185,7
0,345,655,0.0770274,0.137675,8
0,291,709,0.104298,0.150203,9
0,239,761,0.166665,0.147139,10
0,188,812,0.0983423,0.133997,11
0,165,835,0.135282,0.0707082,12
0,149,851,0.0997036,0.113021,13
0,135,865,0.0629357,0.0756914,14
0,127,873,0.141483,0.105507,15
0,114,886,0.060978,0.103798,16
0,101,899,0.122984,0.152285,17
0,88,912,0.117789,0.0741924,18
0,83,917,0.0868991,0.116585,19
0,74,926,0.144048,0.140678,20
0,62,938,0.110985,0.106288,21
0,54,946,0.110332,0.155086,22
0,47,953,0.10793,0.0692434,23
0,46,954,0.109021,0.117008,24
0,41,959,0.120123,0.114287,25
0,36,964,0.131433,0.15238,26
0,31,969,0.0878771,0.124275,27
0,26,974,0.0623141,0.171465,28
0,21,979,0.0559712,0.12275,29
0,17,983,0.0895714,0.163102,30
0,14,986,0.120217,0.102409,31
0,11,989,0.102838,0.166959,32
0,7,993,0.112025,0.122826,33
0,7,993,0.150077,0.135609,34
0,6,994,0.0763669,0.172618,35
0,4,996,0.150087,0.158161,36
0,4,996,0.101729,0.060947,37
0,4,996,0.133149,0.0919486,38
0,4,996,0.135158,0.0798467,39
0,3,997,0.118813,0.133169,40
0,2,998,0.0854286,0.146465,41
0,2,998,0.107918,0.137424,42
0,2,998,0.143612,0.155841,43
0,1,999,0.155462,0.0963619,44
0,1,999,0.128482,0.130118,45
0,1,999,0.128491,0.0912494,46
0,1,999,0.14808,0.160819,47
0,1,999,0.0945654,0.123223,48
0,1,999,0.163201,0.120003,49
0,1,999,0.0613914,0.13719,50
0,1,999,0.137094,0.138369,51
0,1,999,0.141995,0.15583,52
0,1,999,0.142422,0.0985401,53
0,1,999,0.0617904,0.119623,54
0,1,999,0.139923,0.137446,55
0,1,999,0.145813,0.124779,56
0,1,999,0.075475,0.144436,57
0,1,999,0.0982234,0.146081,58
0,1,999,0.0805618,0.128482,59
0,1,999,0.0641442,0.132721,60
0,1,999,0.0911837,0.14003,61
0,1,999,0.121316,0.100566,62
0,1,999,0.0799757,0.101038,63
0,1,999,0.149932,0.113258,64
0,0,1000,0.122395,0.0888374,65
0,0,1000,0.143969,0.138803,66
0,0,1000,0.103709,0.0956512,67
0,0,1000,0.119594,0.143741,68
0,0,1000,0.0632321,0.140273,69
0,0,1000,0.113508,0.0666287,70
0,0,1000,0.103744,0.141122,71
0,0,1000,0.090085,0.156192,72
0,0,1000,0.133436,0.10726,73
0,0,1000,0.0643929,0.145029,74
0,0,1000,0.0573247,0.0659696,75
0,0,1000,0.0954432,0.109096,76
0,0,1000,0.126083,0.0807137,77
0,0,1000,0.159549,0.0655926,78
0,0,1000,0.110446,0.142509,79
0,0,1000,0.163215,0.0968165,80
0,0,1000,0.0971027,0.102972,81
0,0,1000,0.107079,0.10604,82
0,0,1000,0.0813549,0.0660974,83
0,0,1000,0.0658947,0.105647,84
0,0,1000,0.0795381,0.0828093,85
0,0,1000,0.113901,0.1359,86
0,0,1000,0.0779294,0.145334,87
0,0,1000,0.121168,0.120016,88
0,0,1000,0.15088,0.157456,89
0,0,1000,0.0855244,0.077965,90
0,0,1000,0.0900352,0.139645,91
0,0,1000,0.131883,0.0620598,92
0,0,1000,0.0944012,0.150577,93
0,0,1000,0.157268,0.0733062,94
0,0,1000,0.134943,0.131304,95
0,0,1000,0.109134,0.167181,96
0,0,1000,0.145967,0.0789536,97
0,0,1000,0.140287,0.154818,98
0,0,1000,0.113059,0.102254,99
