S,I,R,p_I,p_R,t
948,52,0,0.0592022,0.0803014,0
149,779,72,0.135212,0.0624037,1
0,874,126,0.103506,0.0758275,2
0,822,178,0.0905898,0.145016,3
0,723,277,0.0994657,0.0618891,4
0,679,321,0.159621,0.107265,5
0,607,393,0.0863353,0.123787,6
0,532,468,0.0911175,0.137494,7
0,466,534,0.091527,0.141655,8
0,405,595,0.0854903,0.156453,9
0,344,656,0.120429,0.0933071,10
0,312,688,0.0991509,0.137638,11
0,275,725,0.0899049,0.16957,12
0,222,778,0.101668,0.0639829,13
0,205,795,0.125302,0.163949,14
0,182,818,0.147077,0.116776,15
0,153,847,0.127353,0.145602,16
0,130,870,0.113813,0.165898,17
0,114,886,0.0909866,0.0740592,18
0,103,897,0.086278,0.0718424,19
0,96,904,0.109047,0.0998235,20
0,85,915,0.0689433,0.173453,21
0,70,930,0.0627569,0.162344,22
0,60,940,0.162489,0.101595,23
0,56,944,0.148844,0.10219,24
0,50,950,0.0761168,0.113965,25
0,43,957,0.0972943,0.148886,26
0,38,962,0.0721213,0.126669,27
0,33,967,0.121082,0.162671,28
0,25,975,0.15993,0.161089,29
0,21,979,0.117718,0.0899341,30
0,18,982,0.145032,0.0735273,31
0,16,984,0.0955587,0.148097,32
0,11,989,0.100793,0.120321,33
0,10,990,0.133832,0.152884,34
0,9,991,0.120736,0.121229,35
0,5,995,0.0760867,0.117714,36
0,4,996,0.164057,0.132465,37
0,3,997,0.132088,0.157339,38
0,3,997,0.0966638,0.142676,39
0,2,998,0.0648009,0.164331,40
0,2,998,0.147818,0.0597542,41
0,2,998,0.14141,0.148038,42
0,2,998,0.112902,0.0972047,43
0,2,998,0.0692188,0.0701918,44
0,2,998,0.077286,0.127359,45
0,2,998,0.0755042,0.109374,46
0,2,998,0.125179,0.0879899,47
0,1,999,0.143798,0.144011,48
0,1,999,0.139488,0.150705,49
0,1,999,0.0753988,0.161886,50
0,1,999,0.122766,0.0912128,51
0,1,999,0.0902602,0.107153,52
0,1,999,0.151219,0.0897574,53
0,1,999,0.144425,0.153502,54
0,1,999,0.160616,0.0683032,55
0,1,999,0.0958248,0.12415,56
0,1,999,0.0910719,0.119815,57
0,1,999,0.162805,0.117763,58
0,1,999,0.119204,0.152843,59
0,1,999,0.0974397,0.173049,60
0,1,999,0.114106,0.172561,61
0,1,999,0.115102,0.160981,62
0,1,999,0.0582636,0.153023,63
0,1,999,0.160171,0.0693115,64
0,1,999,0.137712,0.119942,65
0,1,999,0.0588588,0.0630417,66
0,1,999,0.134472,0.108624,67
0,1,999,0.12922,0.133952,68
0,1,999,0.14717,0.0775117,69
0,1,999,0.142127,0.163115,70
0,1,999,0.138433,0.108928,71
0,1,999,0.129079,0.128187,72
0,1,999,0.159126,0.143208,73
0,1,999,0.144253,0.167821,74
0,1,999,0.0614674,0.0616019,75
0,1,999,0.104978,0.0788319,76
0,1,999,0.102171,0.106676,77
0,1,999,0.0810889,0.0598491,78
0,1,999,0.157926,0.17478,79
0,1,999,0.112997,0.0802725,80
0,1,999,0.0860612,0.164048,81
0,1,999,0.155665,0.0610848,82
0,1,999,0.165848,0.0665281,83
0,1,999,0.0761751,0.127231,84
0,1,999,0.161543,0.0589592,85
0,0,1000,0.164875,0.168043,86
0,0,1000,0.0595853,0.0700251,87
0,0,1000,0.129011,0.147656,88
0,0,1000,0.0865531,0.15319,89
0,0,1000,0.135625,0.075211,90
0,0,1000,0.122381,0.106922,91
0,0,1000,0.162168,0.142217,92
0,0,1000,0.0947608,0.131765,93
0,0,1000,0.0923664,0.0800142,94
0,0,1000,0.147545,0.121251,95
0,0,1000,0.117674,0.108773,96
0,0,1000,0.100655,0.112234,97
0,0,1000,0.155366,0.15037,98
0,0,1000,0.0915351,0.0997437,99
