S,I,R,p_I,p_R,t
949,51,0,0.122809,0.0904836,0
16,902,82,0.135466,0.0937095,1
0,830,170,0.0989222,0.142949,2
0,713,287,0.158757,0.121973,3
0,636,364,0.147509,0.133043,4
0,559,441,0.15687,0.0700092,5
0,519,481,0.0999516,0.143839,6
0,438,562,0.0836759,0.126412,7
0,395,605,0.0989409,0.154999,8
0,323,677,0.165267,0.139846,9
0,270,730,0.112957,0.117719,10
0,238,762,0.0946296,0.139043,11
0,195,805,0.111208,0.148781,12
0,168,832,0.0577941,0.127863,13
0,143,857,0.0564023,0.136703,14
0,122,878,0.0840975,0.160319,15
0,97,903,0.112336,0.13201,16
0,86,914,0.063911,0.15105,17
0,77,923,0.153459,0.0584741,18
0,73,927,0.0717142,0.130685,19
0,66,934,0.0859052,0.12886,20
0,60,940,0.14238,0.148962,21
0,47,953,0.147864,0.126887,22
0,41,959,0.145168,0.123274,23
0,36,964,0.144536,0.0754425,24
0,33,967,0.0853265,0.108398,25
0,31,969,0.107017,0.151285,26
0,27,973,0.166095,0.136149,27
0,26,974,0.119916,0.0599873,28
0,24,976,0.120797,0.106893,29
0,22,978,0.0619104,0.114878,30
0,18,982,0.071547,0.0630301,31
0,17,983,0.0942263,0.128169,32
0,17,983,0.141953,0.110626,33
0,17,983,0.0995941,0.134085,34
0,16,984,0.160199,0.154971,35
0,14,986,0.0955096,0.128753,36
0,10,990,0.138019,0.167964,37
0,7,993,0.0613197,0.15715,38
0,7,993,0.0937284,0.142381,39
0,7,993,0.0747672,0.137962,40
0,3,997,0.125279,0.151277,41
0,3,997,0.164237,0.141848,42
0,2,998,0.0684681,0.132826,43
0,2,998,0.143546,0.0782824,44
0,2,998,0.12225,0.0642087,45
0,2,998,0.0653309,0.100013,46
0,2,998,0.0623601,0.17219,47
0,2,998,0.145817,0.114563,48
0,2,998,0.105779,0.146917,49
0,2,998,0.0809347,0.171339,50
0,1,999,0.0960762,0.091075,51
0,1,999,0.157849,0.137085,52
0,1,999,0.0883215,0.121187,53
0,1,999,0.0605489,0.0928319,54
0,0,1000,0.0756823,0.145926,55
0,0,1000,0.0841265,0.147118,56
0,0,1000,0.119341,0.160179,57
0,0,1000,0.144003,0.0649569,58
0,0,1000,0.131731,0.130439,59
0,0,1000,0.0768568,0.165833,60
0,0,1000,0.071095,0.0857626,61
0,0,1000,0.0704074,0.123172,62
0,0,1000,0.113673,0.173117,63
0,0,1000,0.128056,0.062276,64
0,0,1000,0.0845451,0.116594,65
0,0,1000,0.0710203,0.173991,66
0,0,1000,0.124802,0.0856009,67
0,0,1000,0.0693032,0.0927436,68
0,0,1000,0.149885,0.0933486,69
0,0,1000,0.0912228,0.169037,70
0,0,1000,0.10074,0.158733,71
0,0,1000,0.16524,0.0651478,72
0,0,1000,0.122053,0.0973575,73
0,0,1000,0.12422,0.097499,74
0,0,1000,0.070886,0.0604655,75
0,0,1000,0.0721736,0.105058,76
0,0,1000,0.155661,0.142401,77
0,0,1000,0.0757715,0.157752,78
0,0,1000,0.142575,0.139646,79
0,0,1000,0.109132,0.0709193,80
0,0,1000,0.0885568,0.125787,81
0,0,1000,0.143693,0.0803636,82
0,0,1000,0.151018,0.101563,83
0,0,1000,0.063839,0.0799218,84
0,0,1000,0.148845,0.0831915,85
0,0,1000,0.0711482,0.155652,86
0,0,1000,0.107062,0.156008,87
0,0,1000,0.116276,0.117181,88
0,0,1000,0.131501,0.174065,89
0,0,1000,0.157455,0.16025,90
0,0,1000,0.1518,0.133875,91
0,0,1000,0.162715,0.144928,92
0,0,1000,0.0875638,0.116033,93
0,0,1000,0.13268,0.168522,94
0,0,1000,0.143961,0.131512,95
0,0,1000,0.109119,0.0606246,96
0,0,1000,0.163864,0.156342,97
0,0,1000,0.139725,0.140721,98
0,0,1000,0.13351,0.063374,99
