S,I,R,p_I,p_R,t
942,58,0,0.136872,0.172679,0
7,813,180,0.14796,0.125765,1
0,701,299,0.147208,0.0676167,2
0,642,358,0.0964475,0.0998467,3
0,587,413,0.0738142,0.0689704,4
0,553,447,0.165502,0.097935,5
0,499,501,0.084186,0.0768366,6
0,457,543,0.148,0.162616,7
0,392,608,0.119735,0.120605,8
0,344,656,0.0927976,0.0791297,9
0,314,686,0.11317,0.0890848,10
0,292,708,0.105104,0.0881407,11
0,270,730,0.0631199,0.123074,12
0,227,773,0.0890079,0.108411,13
0,200,800,0.120891,0.0774168,14
0,186,814,0.153738,0.0951723,15
0,166,834,0.133354,0.113144,16
0,140,860,0.0630009,0.107416,17
0,126,874,0.0945876,0.151433,18
0,102,898,0.0656998,0.109412,19
0,97,903,0.141797,0.0740696,20
0,91,909,0.0930523,0.169828,21
0,74,926,0.145608,0.168932,22
0,68,932,0.116627,0.162973,23
0,60,940,0.131815,0.0940233,24
0,55,945,0.0699295,0.0932809,25
0,52,948,0.0585838,0.0994838,26
0,49,951,0.0748027,0.148526,27
0,40,960,0.13776,0.143478,28
0,38,962,0.104725,0.129974,29
0,36,964,0.0813545,0.138838,30
0,31,969,0.0769763,0.121379,31
0,26,974,0.113942,0.0648928,32
0,24,976,0.101682,0.0763734,33
0,24,976,0.0700265,0.0687167,34
0,23,977,0.0831882,0.101149,35
0,20,980,0.0605057,0.125243,36
0,17,983,0.158503,0.0733963,37
0,14,986,0.121131,0.063791,38
0,11,989,0.154975,0.155019,39
0,11,989,0.0812204,0.118981,40
0,8,992,0.13722,0.172269,41
0,8,992,0.158828,0.141489,42
0,7,993,0.0713859,0.0816161,43
0,7,993,0.137237,0.0746001,44
0,6,994,0.0805683,0.0590101,45
0,4,996,0.142433,0.115393,46
0,4,996,0.135921,0.112894,47
0,4,996,0.0849818,0.163349,48
0,4,996,0.158304,0.157734,49
0,4,996,0.0979529,0.0680549,50
0,4,996,0.112687,0.127312,51
0,3,997,0.0656321,0.132745,52
0,2,998,0.0607359,0.138356,53
0,2,998,0.151719,0.10076,54
0,2,998,0.0573026,0.0601561,55
0,2,998,0.125537,0.142496,56
0,2,998,0.0612469,0.136575,57
0,2,998,0.101768,0.0621421,58
0,1,999,0.0684797,0.0781843,59
0,1,999,0.165657,0.165623,60
0,1,999,0.161393,0.101126,61
0,1,999,0.156354,0.173463,62
0,1,999,0.0658647,0.0605053,63
0,1,999,0.0574968,0.104894,64
0,1,999,0.145396,0.116327,65
0,1,999,0.125253,0.154126,66
0,1,999,0.11415,0.114721,67
0,1,999,0.0672598,0.127007,68
0,1,999,0.142484,0.166946,69
0,1,999,0.108977,0.118937,70
0,1,999,0.113227,0.135131,71
0,1,999,0.161464,0.168351,72
0,1,999,0.108038,0.168756,73
0,1,999,0.159305,0.0638288,74
0,1,999,0.089974,0.0955251,75
0,1,999,0.145684,0.0844853,76
0,1,999,0.166153,0.0842751,77
0,1,999,0.0956372,0.15092,78
0,1,999,0.151053,0.106006,79
0,1,999,0.152833,0.160733,80
0,1,999,0.0980554,0.122163,81
0,1,999,0.143097,0.0709214,82
0,1,999,0.10603,0.160718,83
0,1,999,0.0911077,0.131776,84
0,1,999,0.102732,0.123978,85
0,1,999,0.0814307,0.167673,86
0,1,999,0.101841,0.0830054,87
0,1,999,0.142639,0.136775,88
0,1,999,0.160379,0.102229,89
0,1,999,0.120791,0.160938,90
0,1,999,0.16369,0.093761,91
0,1,999,0.118991,0.12604,92
0,1,999,0.0851359,0.162459,93
0,1,999,0.0991749,0.0642397,94
0,1,999,0.0789035,0.0820802,95
0,1,999,0.121469,0.063838,96
0,1,999,0.162905,0.0823086,97
0,1,999,0.161017,0.16966,98
0,1,999,0.122567,0.166083,99
