S,I,R,p_I,p_R,t
962,38,0,0.114238,0.117747,0
53,834,113,0.0604858,0.0592304,1
0,834,166,0.148404,0.0707488,2
0,775,225,0.122868,0.156376,3
0,630,370,0.150515,0.0759311,4
0,578,422,0.122572,0.0707484,5
0,540,460,0.126647,0.092506,6
0,498,502,0.118785,0.059553,7
0,465,535,0.093196,0.169351,8
0,401,599,0.092665,0.151562,9
0,329,671,0.162685,0.109201,10
0,292,708,0.155873,0.110123,11
0,262,738,0.144051,0.166146,12
0,218,782,0.0880434,0.132,13
0,193,807,0.146822,0.152196,14
0,169,831,0.137864,0.0842404,15
0,155,845,0.0591935,0.146291,16
0,133,867,0.119132,0.147644,17
0,120,880,0.15172,0.0829444,18
0,111,889,0.0926012,0.161389,19
0,98,902,0.0901937,0.0889466,20
0,84,916,0.109083,0.101175,21
0,74,926,0.134201,0.0719794,22
0,71,929,0.0673815,0.0606572,23
0,65,935,0.148286,0.0883495,24
0,54,946,0.0868676,0.174716,25
0,35,965,0.0896103,0.111527,26
0,29,971,0.110388,0.0612539,27
0,27,973,0.115696,0.153957,28
0,22,978,0.11777,0.126417,29
0,17,983,0.101001,0.142076,30
0,14,986,0.114706,0.104676,31
0,12,988,0.134088,0.0625625,32
0,12,988,0.117809,0.153028,33
0,11,989,0.0966649,0.0628721,34
0,11,989,0.154739,0.164663,35
0,8,992,0.129736,0.171482,36
0,7,993,0.155793,0.125529,37
0,6,994,0.0761302,0.157212,38
0,4,996,0.0993244,0.0901714,39
0,4,996,0.117322,0.104426,40
0,4,996,0.147536,0.131743,41
0,4,996,0.0616469,0.133402,42
0,4,996,0.0607196,0.0816123,43
0,4,996,0.109816,0.0828569,44
0,4,996,0.111327,0.116539,45
0,3,997,0.0939972,0.146049,46
0,3,997,0.112037,0.0779209,47
0,3,997,0.0701911,0.143128,48
0,3,997,0.060205,0.0778904,49
0,3,997,0.0603133,0.134952,50
0,2,998,0.121198,0.0799914,51
0,2,998,0.0732934,0.102415,52
0,1,999,0.0751784,0.136406,53
0,1,999,0.124454,0.155251,54
0,1,999,0.136972,0.0903175,55
0,1,999,0.133382,0.126154,56
0,1,999,0.160228,0.0967079,57
0,1,999,0.0613505,0.141319,58
0,1,999,0.130985,0.151488,59
0,1,999,0.0828045,0.172727,60
0,1,999,0.156018,0.067325,61
0,1,999,0.113437,0.074196,62
0,1,999,0.133129,0.121208,63
0,0,1000,0.12676,0.142341,64
0,0,1000,0.0798233,0.122447,65
0,0,1000,0.0665809,0.0637432,66
0,0,1000,0.0881685,0.0596504,67
0,0,1000,0.055631,0.110338,68
0,0,1000,0.0701755,0.14252,69
0,0,1000,0.130769,0.0684337,70
0,0,1000,0.146714,0.142663,71
0,0,1000,0.0823679,0.111752,72
0,0,1000,0.137474,0.147375,73
0,0,1000,0.0966561,0.105895,74
0,0,1000,0.139591,0.0896611,75
0,0,1000,0.124286,0.133141,76
0,0,1000,0.107132,0.142543,77
0,0,1000,0.0982335,0.10516,78
0,0,1000,0.0925158,0.112599,79
0,0,1000,0.109168,0.13918,80
0,0,1000,0.135115,0.147865,81
0,0,1000,0.153719,0.14901,82
0,0,1000,0.0778294,0.0951854,83
0,0,1000,0.134761,0.0845838,84
0,0,1000,0.0826245,0.084978,85
0,0,1000,0.129077,0.108664,86
0,0,1000,0.0972381,0.126523,87
0,0,1000,0.0784016,0.0594113,88
0,0,1000,0.124084,0.171147,89
0,0,1000,0.162488,0.0869566,90
0,0,1000,0.133973,0.0966633,91
0,0,1000,0.079575,0.0700209,92
0,0,1000,0.102424,0.129742,93
0,0,1000,0.117191,0.0649104,94
0,0,1000,0.0857339,0.142739,95
0,0,1000,0.0805403,0.1545,96
0,0,1000,0.0812153,0.169782,97
0,0,1000,0.138836,0.1571,98
0,0,1000,0.140906,0.116648,99
