S,I,R,p_I,p_R,t
943,57,0,0.113402,0.064617,0
19,913,68,0.100116,0.10996,1
0,823,177,0.139838,0.0987666,2
0,752,248,0.122341,0.071773,3
0,696,304,0.120195,0.117199,4
0,622,378,0.0712362,0.0927575,5
0,583,417,0.0750308,0.142294,6
0,514,486,0.0677173,0.0681388,7
0,482,518,0.156353,0.148976,8
0,422,578,0.14756,0.156033,9
0,343,657,0.0684116,0.100836,10
0,299,701,0.108605,0.0697304,11
0,278,722,0.0733993,0.08277,12
0,259,741,0.122837,0.153968,13
0,226,774,0.147726,0.146604,14
0,204,796,0.0565304,0.0704044,15
0,188,812,0.0833015,0.0631207,16
0,181,819,0.138955,0.0855146,17
0,166,834,0.148425,0.105476,18
0,154,846,0.163335,0.0804577,19
0,147,853,0.151746,0.123421,20
0,129,871,0.151792,0.151747,21
0,111,889,0.0746092,0.168425,22
0,89,911,0.0800211,0.0741731,23
0,83,917,0.100634,0.130051,24
0,70,930,0.0704369,0.0746673,25
0,68,932,0.104241,0.0634115,26
0,65,935,0.152856,0.0666676,27
0,62,938,0.0630195,0.0836108,28
0,59,941,0.0593036,0.151154,29
0,49,951,0.0639822,0.0666137,30
0,46,954,0.161458,0.113125,31
0,40,960,0.106916,0.0879995,32
0,37,963,0.107471,0.0595381,33
0,35,965,0.142919,0.092812,34
0,34,966,0.060119,0.0587203,35
0,31,969,0.165185,0.112024,36
0,23,977,0.158371,0.132349,37
0,21,979,0.0791225,0.173298,38
0,18,982,0.142331,0.0725913,39
0,17,983,0.0994653,0.0602133,40
0,16,984,0.0638994,0.0885823,41
0,15,985,0.101153,0.135476,42
0,13,987,0.153085,0.12309,43
0,11,989,0.0815765,0.0933019,44
0,11,989,0.087638,0.164798,45
0,8,992,0.0957378,0.0732025,46
0,8,992,0.0695283,0.0646447,47
0,7,993,0.0876319,0.0867095,48
0,7,993,0.0760398,0.0803748,49
0,7,993,0.138468,0.128024,50
0,7,993,0.117383,0.14799,51
0,7,993,0.143733,0.115549,52
0,6,994,0.0653426,0.0748945,53
0,5,995,0.100348,0.170098,54
0,5,995,0.0629377,0.139855,55
0,4,996,0.1098,0.104378,56
0,4,996,0.155487,0.0853324,57
0,3,997,0.0617149,0.113961,58
0,3,997,0.0764155,0.172918,59
0,2,998,0.0928384,0.16124,60
0,2,998,0.0637343,0.0734084,61
0,2,998,0.156863,0.143483,62
0,2,998,0.133841,0.109327,63
0,2,998,0.0617009,0.0926654,64
0,2,998,0.111092,0.072289,65
0,2,998,0.136142,0.0688382,66
0,2,998,0.120193,0.0600999,67
0,2,998,0.13783,0.143448,68
0,2,998,0.06539,0.100232,69
0,1,999,0.0898284,0.121352,70
0,1,999,0.107028,0.145695,71
0,1,999,0.117778,0.0688773,72
0,1,999,0.0773356,0.144406,73
0,1,999,0.155605,0.0871448,74
0,1,999,0.156155,0.106156,75
0,1,999,0.0691855,0.0641809,76
0,1,999,0.142529,0.170129,77
0,1,999,0.102221,0.110637,78
0,1,999,0.129751,0.143188,79
0,1,999,0.113289,0.101676,80
0,1,999,0.146034,0.09759,81
0,1,999,0.153153,0.0609768,82
0,1,999,0.143166,0.0683571,83
0,1,999,0.162475,0.172261,84
0,0,1000,0.12948,0.0834841,85
0,0,1000,0.132206,0.158305,86
0,0,1000,0.0778557,0.0808041,87
0,0,1000,0.103278,0.173953,88
0,0,1000,0.0678605,0.101992,89
0,0,1000,0.122802,0.168747,90
0,0,1000,0.073027,0.165756,91
0,0,1000,0.159641,0.0618952,92
0,0,1000,0.0776299,0.102838,93
0,0,1000,0.164568,0.121823,94
0,0,1000,0.144876,0.150391,95
0,0,1000,0.114037,0.0738391,96
0,0,1000,0.121808,0.085651,97
0,0,1000,0.162296,0.128052,98
0,0,1000,0.151853,0.0713058,99
