S,I,R,p_I,p_R,t
943,57,0,0.113402,0.064617,0
16,910,74,0.100116,0.10996,1
0,824,176,0.139838,0.0987666,2
0,731,269,0.122341,0.071773,3
0,691,309,0.120195,0.117199,4
0,613,387,0.0712362,0.0927575,5
0,554,446,0.0750308,0.142294,6
0,480,520,0.0677173,0.0681388,7
0,450,550,0.156353,0.148976,8
0,387,613,0.14756,0.156033,9
0,323,677,0.0684116,0.100836,10
0,280,720,0.108605,0.0697304,11
0,261,739,0.0733993,0.08277,12
0,239,761,0.122837,0.153968,13
0,198,802,0.147726,0.146604,14
0,173,827,0.0565304,0.0704044,15
0,158,842,0.0833015,0.0631207,16
0,147,853,0.138955,0.0855146,17
0,132,868,0.148425,0.105476,18
0,120,880,0.163335,0.0804577,19
0,113,887,0.151746,0.123421,20
0,102,898,0.151792,0.151747,21
0,86,914,0.0746092,0.168425,22
0,69,931,0.0800211,0.0741731,23
0,62,938,0.100634,0.130051,24
0,55,945,0.0704369,0.0746673,25
0,48,952,0.104241,0.0634115,26
0,43,957,0.152856,0.0666676,27
0,39,961,0.0630195,0.0836108,28
0,38,962,0.0593036,0.151154,29
0,34,966,0.0639822,0.0666137,30
0,27,973,0.161458,0.113125,31
0,24,976,0.106916,0.0879995,32
0,24,976,0.107471,0.0595381,33
0,24,976,0.142919,0.092812,34
0,20,980,0.060119,0.0587203,35
0,19,981,0.165185,0.112024,36
0,16,984,0.158371,0.132349,37
0,14,986,0.0791225,0.173298,38
0,11,989,0.142331,0.0725913,39
0,10,990,0.0994653,0.0602133,40
0,8,992,0.0638994,0.0885823,41
0,8,992,0.101153,0.135476,42
0,8,992,0.153085,0.12309,43
0,7,993,0.0815765,0.0933019,44
0,7,993,0.087638,0.164798,45
0,6,994,0.0957378,0.0732025,46
0,4,996,0.0695283,0.0646447,47
0,4,996,0.0876319,0.0867095,48
0,3,997,0.0760398,0.0803748,49
0,3,997,0.138468,0.128024,50
0,3,997,0.117383,0.14799,51
0,2,998,0.143733,0.115549,52
0,2,998,0.0653426,0.0748945,53
0,1,999,0.100348,0.170098,54
0,0,1000,0.0629377,0.139855,55
0,0,1000,0.1098,0.104378,56
0,0,1000,0.155487,0.0853324,57
0,0,1000,0.0617149,0.113961,58
0,0,1000,0.0764155,0.172918,59
0,0,1000,0.0928384,0.16124,60
0,0,1000,0.0637343,0.0734084,61
0,0,1000,0.156863,0.143483,62
0,0,1000,0.133841,0.109327,63
0,0,1000,0.0617009,0.0926654,64
0,0,1000,0.111092,0.072289,65
0,0,1000,0.136142,0.0688382,66
0,0,1000,0.120193,0.0600999,67
0,0,1000,0.13783,0.143448,68
0,0,1000,0.06539,0.100232,69
0,0,1000,0.0898284,0.121352,70
0,0,1000,0.107028,0.145695,71
0,0,1000,0.117778,0.0688773,72
0,0,1000,0.0773356,0.144406,73
0,0,1000,0.155605,0.0871448,74
0,0,1000,0.156155,0.106156,75
0,0,1000,0.0691855,0.0641809,76
0,0,1000,0.142529,0.170129,77
0,0,1000,0.102221,0.110637,78
0,0,1000,0.129751,0.143188,79
0,0,1000,0.113289,0.101676,80
0,0,1000,0.146034,0.09759,81
0,0,1000,0.153153,0.0609768,82
0,0,1000,0.143166,0.0683571,83
0,0,1000,0.162475,0.172261,84
0,0,1000,0.12948,0.0834841,85
0,0,1000,0.132206,0.158305,86
0,0,1000,0.0778557,0.0808041,87
0,0,1000,0.103278,0.173953,88
0,0,1000,0.0678605,0.101992,89
0,0,1000,0.122802,0.168747,90
0,0,1000,0.073027,0.165756,91
0,0,1000,0.159641,0.0618952,92
0,0,1000,0.0776299,0.102838,93
0,0,1000,0.164568,0.121823,94
0,0,1000,0.144876,0.150391,95
0,0,1000,0.114037,0.0738391,96
0,0,1000,0.121808,0.085651,97
0,0,1000,0.162296,0.128052,98
0,0,1000,0.151853,0.0713058,99
