S,I,R,p_I,p_R,t
953,47,0,0.099823,0.110079,0
61,834,105,0.109858,0.0868779,1
0,821,179,0.158678,0.136216,2
0,718,282,0.129967,0.0678509,3
0,670,330,0.0581159,0.170394,4
0,551,449,0.0696363,0.113716,5
0,494,506,0.103239,0.167583,6
0,413,587,0.0870043,0.0692503,7
0,382,618,0.147724,0.135017,8
0,332,668,0.115058,0.118325,9
0,282,718,0.149738,0.0826912,10
0,262,738,0.162194,0.0986623,11
0,241,759,0.0703397,0.139272,12
0,207,793,0.0970913,0.155912,13
0,170,830,0.0758592,0.17058,14
0,145,855,0.0817576,0.16385,15
0,125,875,0.153803,0.080463,16
0,114,886,0.0607798,0.10934,17
0,102,898,0.0832692,0.130335,18
0,88,912,0.13936,0.16838,19
0,71,929,0.0845956,0.0583528,20
0,66,934,0.135812,0.110193,21
0,59,941,0.124826,0.155278,22
0,55,945,0.10309,0.14401,23
0,52,948,0.106503,0.114825,24
0,41,959,0.128744,0.14497,25
0,35,965,0.055732,0.155918,26
0,29,971,0.144474,0.138984,27
0,24,976,0.143319,0.104427,28
0,22,978,0.114663,0.124613,29
0,19,981,0.160523,0.0585174,30
0,18,982,0.110724,0.103744,31
0,16,984,0.134344,0.062539,32
0,15,985,0.0860216,0.0594787,33
0,15,985,0.109377,0.15126,34
0,11,989,0.095506,0.0730445,35
0,10,990,0.160998,0.144267,36
0,10,990,0.0757264,0.128903,37
0,9,991,0.0755988,0.138792,38
0,8,992,0.0723293,0.126627,39
0,5,995,0.0611132,0.121465,40
0,4,996,0.0704029,0.094378,41
0,4,996,0.082802,0.111538,42
0,4,996,0.127204,0.140387,43
0,4,996,0.107421,0.0910786,44
0,4,996,0.0559244,0.10736,45
0,4,996,0.113261,0.0910548,46
0,4,996,0.0576347,0.154576,47
0,3,997,0.152361,0.164446,48
0,3,997,0.114726,0.121579,49
0,3,997,0.0600005,0.173251,50
0,3,997,0.147342,0.117127,51
0,3,997,0.137325,0.0936465,52
0,3,997,0.0700719,0.0852142,53
0,3,997,0.113556,0.115711,54
0,3,997,0.161231,0.0801796,55
0,3,997,0.0738474,0.0976583,56
0,2,998,0.0973741,0.110356,57
0,2,998,0.134016,0.148646,58
0,1,999,0.0952037,0.153888,59
0,1,999,0.0989411,0.0642778,60
0,0,1000,0.117351,0.104141,61
0,0,1000,0.106827,0.0986129,62
0,0,1000,0.0779835,0.0794366,63
0,0,1000,0.0667672,0.159658,64
0,0,1000,0.157393,0.0634629,65
0,0,1000,0.0816361,0.106487,66
0,0,1000,0.154078,0.166928,67
0,0,1000,0.0573226,0.0588377,68
0,0,1000,0.0678571,0.117711,69
0,0,1000,0.0963983,0.135153,70
0,0,1000,0.153842,0.155255,71
0,0,1000,0.164177,0.138853,72
0,0,1000,0.156126,0.129472,73
0,0,1000,0.0906306,0.153346,74
0,0,1000,0.149662,0.087166,75
0,0,1000,0.0980345,0.144045,76
0,0,1000,0.155818,0.15287,77
0,0,1000,0.0960329,0.149084,78
0,0,1000,0.0868841,0.108921,79
0,0,1000,0.137896,0.12931,80
0,0,1000,0.15973,0.0891257,81
0,0,1000,0.139521,0.117699,82
0,0,1000,0.146135,0.0844342,83
0,0,1000,0.126099,0.132853,84
0,0,1000,0.130907,0.0857256,85
0,0,1000,0.16395,0.0943333,86
0,0,1000,0.0847258,0.133699,87
0,0,1000,0.0941356,0.0871828,88
0,0,1000,0.0838501,0.106842,89
0,0,1000,0.127462,0.062242,90
0,0,1000,0.11673,0.1111,91
0,0,1000,0.103126,0.128319,92
0,0,1000,0.151331,0.124618,93
0,0,1000,0.163468,0.0908275,94
0,0,1000,0.0945081,0.153849,95
0,0,1000,0.0617287,0.124953,96
0,0,1000,0.0711076,0.0670735,97
0,0,1000,0.146248,0.0926821,98
0,0,1000,0.0681674,0.157741,99
