S,I,R,p_I,p_R,t
931,69,0,0.0836118,0.13575,0
27,822,151,0.0655433,0.0644834,1
0,794,206,0.0651384,0.174742,2
0,657,343,0.132658,0.0748245,3
0,605,395,0.0644471,0.0874136,4
0,533,467,0.149468,0.126319,5
0,465,535,0.085681,0.11642,6
0,419,581,0.105345,0.0815121,7
0,399,601,0.143027,0.0779356,8
0,366,634,0.0564399,0.0896433,9
0,333,667,0.0638618,0.0605784,10
0,312,688,0.124145,0.0960417,11
0,282,718,0.112186,0.131919,12
0,239,761,0.14246,0.0671818,13
0,220,780,0.106027,0.142348,14
0,196,804,0.133175,0.110866,15
0,172,828,0.110121,0.0918151,16
0,161,839,0.0733692,0.125994,17
0,147,853,0.0765302,0.0780385,18
0,134,866,0.142306,0.0866445,19
0,125,875,0.086232,0.12713,20
0,113,887,0.0717205,0.124734,21
0,104,896,0.0726169,0.0903479,22
0,94,906,0.159046,0.145844,23
0,88,912,0.0830961,0.0812937,24
0,83,917,0.132717,0.15854,25
0,71,929,0.111337,0.127032,26
0,60,940,0.0807063,0.121779,27
0,52,948,0.0667492,0.128108,28
0,45,955,0.0644371,0.0699834,29
0,44,956,0.103106,0.162553,30
0,34,966,0.118636,0.1328,31
0,30,970,0.0791732,0.131968,32
0,25,975,0.0806179,0.11619,33
0,21,979,0.122424,0.0974946,34
0,19,981,0.0574229,0.13042,35
0,17,983,0.162424,0.0934081,36
0,15,985,0.125995,0.05861,37
0,11,989,0.103394,0.061076,38
0,10,990,0.060079,0.0977829,39
0,8,992,0.119162,0.14228,40
0,8,992,0.0858521,0.101439,41
0,6,994,0.110975,0.104506,42
0,6,994,0.0987202,0.151682,43
0,6,994,0.127022,0.106298,44
0,6,994,0.0808735,0.0711729,45
0,6,994,0.120128,0.073571,46
0,6,994,0.0904314,0.0758295,47
0,6,994,0.119412,0.10356,48
0,6,994,0.166006,0.145435,49
0,5,995,0.0979557,0.165634,50
0,5,995,0.134799,0.067811,51
0,5,995,0.149002,0.102249,52
0,5,995,0.0686866,0.134591,53
0,5,995,0.149909,0.117164,54
0,4,996,0.139862,0.0980983,55
0,4,996,0.149826,0.089184,56
0,4,996,0.0559171,0.082988,57
0,4,996,0.103008,0.165417,58
0,3,997,0.116623,0.0694152,59
0,3,997,0.146855,0.0592948,60
0,3,997,0.0776522,0.112314,61
0,3,997,0.122652,0.109748,62
0,2,998,0.108708,0.107682,63
0,2,998,0.0891622,0.0737891,64
0,2,998,0.0587459,0.0766916,65
0,1,999,0.149866,0.0811931,66
0,1,999,0.121679,0.0739029,67
0,1,999,0.0656331,0.13764,68
0,0,1000,0.157576,0.165042,69
0,0,1000,0.141396,0.112419,70
0,0,1000,0.143404,0.130795,71
0,0,1000,0.0575048,0.146063,72
0,0,1000,0.0940305,0.142608,73
0,0,1000,0.144022,0.099543,74
0,0,1000,0.0681936,0.0851822,75
0,0,1000,0.0729898,0.099452,76
0,0,1000,0.08303,0.166164,77
0,0,1000,0.0926047,0.152542,78
0,0,1000,0.145247,0.0739426,79
0,0,1000,0.111034,0.115439,80
0,0,1000,0.12632,0.082671,81
0,0,1000,0.128776,0.0866354,82
0,0,1000,0.139706,0.141977,83
0,0,1000,0.0633077,0.0673962,84
0,0,1000,0.156627,0.0647656,85
0,0,1000,0.138269,0.0642035,86
0,0,1000,0.156021,0.0941704,87
0,0,1000,0.135128,0.0825555,88
0,0,1000,0.0878347,0.0829748,89
0,0,1000,0.14919,0.125725,90
0,0,1000,0.118917,0.0692455,91
0,0,1000,0.119,0.130223,92
0,0,1000,0.0851747,0.0608542,93
0,0,1000,0.132001,0.130105,94
0,0,1000,0.0831546,0.112219,95
0,0,1000,0.0758319,0.147849,96
0,0,1000,0.133255,0.142771,97
0,0,1000,0.0565318,0.139259,98
0,0,1000,0.13776,0.127847,99
