S,I,R,p_I,p_R,t
944,56,0,0.141478,0.0993206,0
15,884,101,0.0641833,0.172613,1
0,730,270,0.162529,0.124142,2
0,626,374,0.0731753,0.0812444,3
0,576,424,0.0634243,0.109634,4
0,508,492,0.166567,0.164436,5
0,422,578,0.164555,0.164241,6
0,351,649,0.164994,0.111961,7
0,304,696,0.10998,0.141595,8
0,258,742,0.132521,0.100776,9
0,232,768,0.123433,0.124807,10
0,201,799,0.0950242,0.155564,11
0,169,831,0.0648234,0.0926894,12
0,154,846,0.131387,0.108369,13
0,138,862,0.0712051,0.0887079,14
0,131,869,0.165105,0.166707,15
0,111,889,0.0673455,0.146929,16
0,95,905,0.133517,0.144071,17
0,80,920,0.15228,0.115059,18
0,72,928,0.108899,0.134475,19
0,60,940,0.0662758,0.11588,20
0,53,947,0.0788586,0.14587,21
0,48,952,0.0780781,0.0848279,22
0,41,959,0.0950565,0.134517,23
0,33,967,0.164184,0.0682549,24
0,29,971,0.0856273,0.138223,25
0,24,976,0.163722,0.107808,26
0,24,976,0.142797,0.151733,27
0,21,979,0.148247,0.0743812,28
0,21,979,0.107948,0.0924572,29
0,19,981,0.164866,0.126827,30
0,14,986,0.0584622,0.0793332,31
0,13,987,0.0975589,0.169794,32
0,12,988,0.076905,0.117109,33
0,9,991,0.0740936,0.163078,34
0,8,992,0.0935387,0.0775002,35
0,6,994,0.150371,0.120248,36
0,5,995,0.0767749,0.160876,37
0,3,997,0.0641705,0.0959095,38
0,3,997,0.158974,0.134706,39
0,3,997,0.157026,0.128331,40
0,3,997,0.10813,0.135897,41
0,2,998,0.157276,0.0875745,42
0,2,998,0.126369,0.0786224,43
0,1,999,0.144992,0.0833393,44
0,1,999,0.0684189,0.0745629,45
0,1,999,0.103535,0.161758,46
0,1,999,0.10606,0.105532,47
0,0,1000,0.163669,0.162677,48
0,0,1000,0.134881,0.0608347,49
0,0,1000,0.0887933,0.0648642,50
0,0,1000,0.0922445,0.0790329,51
0,0,1000,0.145261,0.0989892,52
0,0,1000,0.0769779,0.0917132,53
0,0,1000,0.0688114,0.126739,54
0,0,1000,0.0801543,0.144294,55
0,0,1000,0.100098,0.129416,56
0,0,1000,0.164736,0.129195,57
0,0,1000,0.0563808,0.14211,58
0,0,1000,0.113454,0.0839144,59
0,0,1000,0.127784,0.120639,60
0,0,1000,0.142282,0.13732,61
0,0,1000,0.151217,0.125444,62
0,0,1000,0.0869746,0.160716,63
0,0,1000,0.0642569,0.140563,64
0,0,1000,0.115864,0.167139,65
0,0,1000,0.0751825,0.0849549,66
0,0,1000,0.0641388,0.0837673,67
0,0,1000,0.0657078,0.0654935,68
0,0,1000,0.111114,0.0825462,69
0,0,1000,0.0603319,0.110131,70
0,0,1000,0.165478,0.152843,71
0,0,1000,0.123224,0.0887062,72
0,0,1000,0.0951962,0.124847,73
0,0,1000,0.07307,0.117403,74
0,0,1000,0.062086,0.132023,75
0,0,1000,0.116806,0.146713,76
0,0,1000,0.0835851,0.174654,77
0,0,1000,0.122455,0.0945354,78
0,0,1000,0.0831489,0.105902,79
0,0,1000,0.111075,0.126424,80
0,0,1000,0.0907058,0.142177,81
0,0,1000,0.0593659,0.130012,82
0,0,1000,0.0646296,0.17297,83
0,0,1000,0.13538,0.0716446,84
0,0,1000,0.141987,0.0769403,85
0,0,1000,0.159177,0.0605971,86
0,0,1000,0.0663323,0.0969326,87
0,0,1000,0.133129,0.111194,88
0,0,1000,0.133661,0.107377,89
0,0,1000,0.116886,0.165487,90
0,0,1000,0.0801391,0.164554,91
0,0,1000,0.143443,0.144367,92
0,0,1000,0.124076,0.138302,93
0,0,1000,0.0602287,0.0841981,94
0,0,1000,0.124581,0.0598899,95
0,0,1000,0.0656077,0.102921,96
0,0,1000,0.145959,0.103715,97
0,0,1000,0.127836,0.166368,98
0,0,1000,0.143886,0.0584356,99
