S,I,R,p_I,p_R,t
948,52,0,0.0592022,0.0803014,0
143,792,65,0.135212,0.0624037,1
0,873,127,0.103506,0.0758275,2
0,807,193,0.0905898,0.145016,3
0,682,318,0.0994657,0.0618891,4
0,638,362,0.159621,0.107265,5
0,571,429,0.0863353,0.123787,6
0,504,496,0.0911175,0.137494,7
0,428,572,0.091527,0.141655,8
0,356,644,0.0854903,0.156453,9
0,296,704,0.120429,0.0933071,10
0,274,726,0.0991509,0.137638,11
0,241,759,0.0899049,0.16957,12
0,207,793,0.101668,0.0639829,13
0,193,807,0.125302,0.163949,14
0,169,831,0.147077,0.116776,15
0,151,849,0.127353,0.145602,16
0,122,878,0.113813,0.165898,17
0,98,902,0.0909866,0.0740592,18
0,88,912,0.086278,0.0718424,19
0,78,922,0.109047,0.0998235,20
0,69,931,0.0689433,0.173453,21
0,55,945,0.0627569,0.162344,22
0,47,953,0.162489,0.101595,23
0,40,960,0.148844,0.10219,24
0,35,965,0.0761168,0.113965,25
0,33,967,0.0972943,0.148886,26
0,29,971,0.0721213,0.126669,27
0,27,973,0.121082,0.162671,28
0,23,977,0.15993,0.161089,29
0,20,980,0.117718,0.0899341,30
0,20,980,0.145032,0.0735273,31
0,20,980,0.0955587,0.148097,32
0,19,981,0.100793,0.120321,33
0,16,984,0.133832,0.152884,34
0,13,987,0.120736,0.121229,35
0,10,990,0.0760867,0.117714,36
0,10,990,0.164057,0.132465,37
0,10,990,0.132088,0.157339,38
0,10,990,0.0966638,0.142676,39
0,8,992,0.0648009,0.164331,40
0,6,994,0.147818,0.0597542,41
0,6,994,0.14141,0.148038,42
0,4,996,0.112902,0.0972047,43
0,3,997,0.0692188,0.0701918,44
0,3,997,0.077286,0.127359,45
0,2,998,0.0755042,0.109374,46
0,2,998,0.125179,0.0879899,47
0,2,998,0.143798,0.144011,48
0,1,999,0.139488,0.150705,49
0,1,999,0.0753988,0.161886,50
0,0,1000,0.122766,0.0912128,51
0,0,1000,0.0902602,0.107153,52
0,0,1000,0.151219,0.0897574,53
0,0,1000,0.144425,0.153502,54
0,0,1000,0.160616,0.0683032,55
0,0,1000,0.0958248,0.12415,56
0,0,1000,0.0910719,0.119815,57
0,0,1000,0.162805,0.117763,58
0,0,1000,0.119204,0.152843,59
0,0,1000,0.0974397,0.173049,60
0,0,1000,0.114106,0.172561,61
0,0,1000,0.115102,0.160981,62
0,0,1000,0.0582636,0.153023,63
0,0,1000,0.160171,0.0693115,64
0,0,1000,0.137712,0.119942,65
0,0,1000,0.0588588,0.0630417,66
0,0,1000,0.134472,0.108624,67
0,0,1000,0.12922,0.133952,68
0,0,1000,0.14717,0.0775117,69
0,0,1000,0.142127,0.163115,70
0,0,1000,0.138433,0.108928,71
0,0,1000,0.129079,0.128187,72
0,0,1000,0.159126,0.143208,73
0,0,1000,0.144253,0.167821,74
0,0,1000,0.0614674,0.0616019,75
0,0,1000,0.104978,0.0788319,76
0,0,1000,0.102171,0.106676,77
0,0,1000,0.0810889,0.0598491,78
0,0,1000,0.157926,0.17478,79
0,0,1000,0.112997,0.0802725,80
0,0,1000,0.0860612,0.164048,81
0,0,1000,0.155665,0.0610848,82
0,0,1000,0.165848,0.0665281,83
0,0,1000,0.0761751,0.127231,84
0,0,1000,0.161543,0.0589592,85
0,0,1000,0.164875,0.168043,86
0,0,1000,0.0595853,0.0700251,87
0,0,1000,0.129011,0.147656,88
0,0,1000,0.0865531,0.15319,89
0,0,1000,0.135625,0.075211,90
0,0,1000,0.122381,0.106922,91
0,0,1000,0.162168,0.142217,92
0,0,1000,0.0947608,0.131765,93
0,0,1000,0.0923664,0.0800142,94
0,0,1000,0.147545,0.121251,95
0,0,1000,0.117674,0.108773,96
0,0,1000,0.100655,0.112234,97
0,0,1000,0.155366,0.15037,98
0,0,1000,0.0915351,0.0997437,99
