S,I,R,p_I,p_R,t
948,52,0,0.16425,0.128908,0
2,870,128,0.14842,0.120349,1
0,764,236,0.0983257,0.0664072,2
0,713,287,0.0896451,0.157048,3
0,604,396,0.162806,0.0865489,4
0,556,444,0.135848,0.0752018,5
0,515,485,0.10525,0.094656,6
0,461,539,0.146968,0.125271,7
0,405,595,0.165694,0.172623,8
0,336,664,0.160118,0.116934,9
0,292,708,0.102639,0.0642529,10
0,276,724,0.0900563,0.0947081,11
0,247,753,0.0854958,0.0826019,12
0,226,774,0.146725,0.120067,13
0,193,807,0.159069,0.170762,14
0,161,839,0.0992434,0.154987,15
0,136,864,0.0940221,0.104728,16
0,127,873,0.0644165,0.0973,17
0,119,881,0.156452,0.0654385,18
0,113,887,0.0559412,0.156778,19
0,96,904,0.0707957,0.1502,20
0,79,921,0.0929783,0.13836,21
0,61,939,0.0629809,0.0668654,22
0,58,942,0.133232,0.139129,23
0,50,950,0.0617379,0.140182,24
0,39,961,0.144572,0.106261,25
0,37,963,0.131186,0.0985444,26
0,33,967,0.123235,0.099691,27
0,30,970,0.112028,0.170775,28
0,28,972,0.129975,0.163009,29
0,25,975,0.0840126,0.0978256,30
0,23,977,0.0958397,0.145528,31
0,20,980,0.138422,0.116404,32
0,14,986,0.106903,0.123398,33
0,14,986,0.0929756,0.104978,34
0,14,986,0.103462,0.0658928,35
0,13,987,0.147663,0.132077,36
0,11,989,0.105214,0.161551,37
0,11,989,0.0702173,0.14298,38
0,8,992,0.120111,0.106963,39
0,8,992,0.166552,0.150189,40
0,7,993,0.08398,0.14068,41
0,6,994,0.115357,0.118811,42
0,5,995,0.0995945,0.169566,43
0,5,995,0.155584,0.0719156,44
0,5,995,0.0594825,0.0614618,45
0,5,995,0.0888111,0.0778017,46
0,5,995,0.147658,0.139086,47
0,5,995,0.103311,0.0868398,48
0,5,995,0.0771035,0.0807594,49
0,5,995,0.117098,0.147747,50
0,4,996,0.105114,0.0658056,51
0,3,997,0.143544,0.103031,52
0,3,997,0.0965726,0.10251,53
0,3,997,0.15553,0.145717,54
0,3,997,0.131382,0.0948529,55
0,3,997,0.0610616,0.125812,56
0,3,997,0.125139,0.0914133,57
0,3,997,0.10333,0.169429,58
0,3,997,0.094954,0.0598571,59
0,2,998,0.110285,0.0598254,60
0,2,998,0.126943,0.104924,61
0,2,998,0.147925,0.169776,62
0,2,998,0.10359,0.146233,63
0,1,999,0.114648,0.151808,64
0,1,999,0.141591,0.128542,65
0,1,999,0.0712329,0.130995,66
0,1,999,0.112824,0.124976,67
0,1,999,0.107101,0.100782,68
0,1,999,0.162997,0.0950179,69
0,1,999,0.0945793,0.116528,70
0,1,999,0.0777806,0.108767,71
0,0,1000,0.127205,0.170663,72
0,0,1000,0.104793,0.076672,73
0,0,1000,0.140907,0.129384,74
0,0,1000,0.0819622,0.0849004,75
0,0,1000,0.109011,0.112812,76
0,0,1000,0.12545,0.109183,77
0,0,1000,0.0864663,0.0897701,78
0,0,1000,0.164391,0.105644,79
0,0,1000,0.0753684,0.147801,80
0,0,1000,0.153098,0.125307,81
0,0,1000,0.115395,0.0787416,82
0,0,1000,0.0663876,0.0642429,83
0,0,1000,0.093993,0.140904,84
0,0,1000,0.10809,0.1548,85
0,0,1000,0.129155,0.0726946,86
0,0,1000,0.130507,0.121534,87
0,0,1000,0.0740879,0.133075,88
0,0,1000,0.111552,0.0822769,89
0,0,1000,0.150511,0.107744,90
0,0,1000,0.139338,0.141499,91
0,0,1000,0.121595,0.108384,92
0,0,1000,0.145783,0.101725,93
0,0,1000,0.0654199,0.0747141,94
0,0,1000,0.131153,0.173089,95
0,0,1000,0.154416,0.125155,96
0,0,1000,0.119172,0.0831514,97
0,0,1000,0.0895401,0.122275,98
0,0,1000,0.154452,0.0611086,99
